lat,long,heading,v,dtheta,windN,windA,windT,rudder,sail
50.359850,-4.115047,0.790971,1.354132,0.000682,0.000000,1.423030,-1.534121,0.004377,1.340759,
50.359851,-4.115048,0.791037,1.354027,0.000643,-0.000000,1.423123,-1.534115,0.004428,1.340758,
50.359852,-4.115049,0.791099,1.353928,0.000607,-0.000000,1.423210,-1.534110,0.004477,1.340759,
50.359853,-4.115051,0.791157,1.353834,0.000572,-0.000000,1.423293,-1.534105,0.004523,1.340759,
50.359854,-4.115052,0.791212,1.353746,0.000540,0.000000,1.423370,-1.534099,0.004566,1.340759,
50.359855,-4.115053,0.791264,1.353662,0.000509,0.000000,1.423444,-1.534094,0.004607,1.340759,
50.359856,-4.115055,0.791313,1.353583,0.000480,0.000000,1.423513,-1.534090,0.004646,1.340759,
50.359857,-4.115056,0.791360,1.353508,0.000453,0.000000,1.423578,-1.534085,0.004682,1.340759,
50.359858,-4.115058,0.791403,1.353437,0.000427,-0.000000,1.423640,-1.534080,-0.557575,0.777544,
50.359858,-4.115059,0.791444,1.353370,0.000403,-0.000000,1.423698,-1.534076,-0.557552,0.777544,
50.359859,-4.115060,0.808497,1.328457,0.264370,-0.000000,1.447460,-1.534369,-0.548039,0.777544,
50.359860,-4.115062,0.837271,1.306847,0.295693,0.000000,1.485985,-1.549167,-0.531626,0.777544,
50.359861,-4.115063,0.866729,1.289333,0.292980,-0.000000,1.524441,-1.567311,-0.514367,0.777544,
50.359862,-4.115064,0.895569,1.276137,0.285436,0.000000,1.561346,-1.587442,-0.497038,0.777544,
50.359863,-4.115066,0.923626,1.266612,0.277611,-0.000000,1.596742,-1.608851,-0.479784,0.777544,
50.359863,-4.115067,0.950914,1.260138,0.270112,0.000000,1.630857,-1.631083,-0.462639,0.777544,
50.359864,-4.115069,0.977469,1.256193,0.262935,0.000000,1.663898,-1.653798,-0.445623,0.777544,
50.359865,-4.115070,1.003318,1.254344,0.255990,0.000000,1.696026,-1.676729,-0.428759,0.777544,
50.359865,-4.115072,1.028479,1.254233,0.249193,0.000000,1.727354,-1.699667,-0.412068,0.777544,
50.359866,-4.115073,1.052964,1.255558,0.242476,0.000000,1.757962,-1.722439,-0.395575,0.777544,
50.359867,-4.115075,1.076777,1.258064,0.235789,0.000000,1.787900,-1.744910,-0.379308,0.777544,
50.359867,-4.115076,1.099919,1.261535,0.229093,0.000000,1.817195,-1.766967,-0.363292,0.777544,
50.359868,-4.115078,1.122388,1.265782,0.222365,-0.000000,1.845854,-1.788520,-0.347555,0.777544,
50.359868,-4.115079,1.144181,1.270645,0.215590,0.000000,1.873875,-1.809498,-0.332125,0.777544,
50.359869,-4.115081,1.165292,1.275981,0.208761,0.000000,1.901242,-1.829841,-0.317027,0.777544,
50.359869,-4.115083,1.185716,1.281668,0.201881,0.000000,1.927932,-1.849504,-0.302286,0.777544,
50.359870,-4.115084,1.205450,1.287596,0.194958,0.000000,1.953921,-1.868454,-0.287923,0.777544,
50.359870,-4.115086,1.224488,1.293671,0.188002,0.000000,1.979180,-1.886664,-0.273960,0.777544,
50.359871,-4.115088,1.242830,1.299809,0.181032,0.000000,2.003680,-1.904118,-0.260414,0.777544,
50.359871,-4.115090,1.260475,1.305935,0.174064,0.000000,2.027393,-1.920806,-0.247300,0.777544,
50.359872,-4.115091,1.277425,1.311987,0.167121,-0.000000,2.050293,-1.936722,-0.234630,0.777544,
50.359872,-4.115093,1.293684,1.317907,0.160222,0.000000,2.072358,-1.951871,-0.222413,0.777544,
50.359872,-4.115095,1.309257,1.323648,0.153391,-0.000000,2.093569,-1.966256,-0.210656,0.777544,
50.359873,-4.115097,1.324152,1.329169,0.146648,0.000000,2.113911,-1.979890,-0.199362,0.777544,
50.359873,-4.115099,1.338381,1.334436,0.140013,0.000000,2.133374,-1.992786,-0.188533,0.777544,
50.359873,-4.115100,1.351955,1.339421,0.133507,0.000000,2.151953,-2.004961,-0.178167,0.777544,
50.359874,-4.115102,1.364888,1.344103,0.127145,0.000000,2.169648,-2.016434,-0.168260,0.777544,
50.359874,-4.115104,1.377195,1.348465,0.120943,0.000000,2.186461,-2.027227,-0.158806,0.777544,
50.359874,-4.115106,1.388894,1.352496,0.114916,-0.000000,2.202402,-2.037365,-0.149797,0.777544,
50.359874,-4.115108,1.400002,1.356188,0.109074,-0.000000,2.217482,-2.046871,-0.141223,0.777544,
50.359875,-4.115110,1.410539,1.359539,0.103426,0.000000,2.231718,-2.055770,-0.133075,0.777544,
50.359875,-4.115112,1.420524,1.362549,0.097981,0.000000,2.245130,-2.064090,-0.125339,0.777544,
50.359875,-4.115113,1.429979,1.365223,0.092742,-0.000000,2.257738,-2.071856,-0.118003,0.777544,
50.359875,-4.115115,1.438923,1.367566,0.087714,0.000000,2.269569,-2.079096,-0.111054,0.777544,
50.359876,-4.115117,1.447379,1.369588,0.082897,-0.000000,2.280650,-2.085837,-0.104475,0.777544,
50.359876,-4.115119,1.455367,1.371301,0.078292,0.000000,2.291008,-2.092103,-0.098254,0.777544,
50.359876,-4.115121,1.462908,1.372716,0.073898,0.000000,2.300674,-2.097923,-0.092375,0.777544,
50.359876,-4.115123,1.470024,1.373848,0.069711,0.000000,2.309678,-2.103320,-0.086823,0.777544,
50.359876,-4.115125,1.476734,1.374712,0.065728,-0.000000,2.318052,-2.108319,-0.081583,0.777544,
50.359877,-4.115127,1.483060,1.375324,0.061945,0.000000,2.325826,-2.112945,-0.076640,0.777544,
50.359877,-4.115129,1.489019,1.375699,0.058357,0.000000,2.333034,-2.117221,-0.071980,0.777544,
50.359877,-4.115131,1.494633,1.375855,0.054956,-0.000000,2.339705,-2.121168,-0.067589,0.777544,
50.359877,-4.115133,1.499918,1.375807,0.051737,-0.000000,2.345871,-2.124807,-0.063453,0.777544,
50.359877,-4.115135,1.504893,1.375572,0.048694,-0.000000,2.351561,-2.128160,-0.059558,0.777544,
50.359877,-4.115136,1.509574,1.375166,0.045819,0.000000,2.356805,-2.131245,-0.055891,0.777544,
50.359877,-4.115138,1.513979,1.374604,0.043105,0.000000,2.361630,-2.134080,-0.052439,0.777544,
50.359878,-4.115140,1.518122,1.373902,0.040545,-0.000000,2.366065,-2.136684,-0.049192,0.777544,
50.359878,-4.115142,1.522019,1.373073,0.038132,0.000000,2.370134,-2.139072,-0.046137,0.777544,
50.359878,-4.115144,1.525684,1.372133,0.035859,0.000000,2.373864,-2.141259,-0.043263,0.777544,
50.359878,-4.115146,1.529130,1.371093,0.033718,0.000000,2.377278,-2.143261,-0.040561,0.777544,
50.359878,-4.115148,1.532370,1.369967,0.031703,0.000000,2.380397,-2.145091,-0.038019,0.777544,
50.359878,-4.115150,1.535417,1.368766,0.029807,-0.000000,2.383245,-2.146762,-0.035629,0.777544,
50.359878,-4.115152,1.538281,1.367500,0.028024,0.000000,2.385840,-2.148285,-0.033381,0.777544,
50.359878,-4.115154,1.540975,1.366181,0.026348,0.000000,2.388202,-2.149673,-0.031268,0.777544,
50.359878,-4.115156,1.543507,1.364817,0.024772,0.000000,2.390348,-2.150935,-0.029281,0.777544,
50.359878,-4.115158,1.545887,1.363418,0.023292,-0.000000,2.392295,-2.152081,-0.027412,0.777544,
50.359878,-4.115160,1.548126,1.361991,0.021900,0.000000,2.394060,-2.153121,-0.025655,0.777544,
50.359879,-4.115161,1.550231,1.360544,0.020593,0.000000,2.395655,-2.154063,-0.024003,0.777544,
50.359879,-4.115163,1.552210,1.359083,0.019365,0.000000,2.397096,-2.154915,-0.022449,0.777544,
50.359879,-4.115165,1.554071,1.357615,0.018212,-0.000000,2.398395,-2.155684,-0.020987,0.777544,
50.359879,-4.115167,1.555822,1.356145,0.017128,0.000000,2.399563,-2.156376,-0.019613,0.777544,
50.359879,-4.115169,1.557468,1.354678,0.016110,-0.000000,2.400611,-2.157000,-0.018320,0.777544,
50.359879,-4.115171,1.559017,1.353219,0.015155,0.000000,2.401550,-2.157559,-0.017104,0.777544,
50.359879,-4.115173,1.560474,1.351771,0.014257,-0.000000,2.402389,-2.158060,-0.015960,0.777544,
50.359879,-4.115175,1.561845,1.350339,0.013414,0.000000,2.403137,-2.158507,-0.014884,0.777544,
